1	2587
1	914
1	1364
1	1699
1	2799
1	1144
2	1087
2	2936
2	2347
2	885
3	617
3	905
3	2370
3	293
4	1161
4	590
4	1114
4	2908
5	1994
5	745
5	1691
6	1120
6	2835
6	2026
6	1412
7	138
7	1608
7	1257
7	1323
8	2304
8	881
8	3033
9	668
9	1760
9	3015
10	2770
10	2504
10	1957
11	1294
11	456
11	2407
12	1659
12	126
12	1296
12	739
13	1707
13	1561
13	1777
14	1634
14	1038
14	1525
15	722
15	609
15	2316
16	3114
16	2617
16	1577
16	1043
17	2496
17	2359
17	2740
17	495
17	932
18	152
18	1632
18	1507
19	1614
19	2320
19	2915
20	1816
20	1757
20	1533
20	2229
21	996
21	482
21	1971
22	2900
22	1748
22	846
22	224
23	1874
23	2821
23	684
23	639
24	1352
24	843
24	2975
24	1256
25	1611
25	2175
25	1684
26	551
26	2574
26	2092
26	1622
27	2441
27	1759
27	1567
27	211
28	719
28	316
28	1186
28	2424
29	1292
29	1009
29	1663
30	1104
30	466
30	2084
31	54
31	1593
31	2193
31	2731
32	2550
32	813
32	557
33	2825
34	133
34	2017
34	740
34	2714
35	367
35	1936
35	874
35	1671
36	2166
36	1903
36	866
36	309
37	2933
37	258
37	2655
37	146
38	218
38	1770
38	2449
39	657
39	2576
39	2965
40	679
40	1585
40	200
41	1820
41	2053
41	2931
42	2607
42	2475
42	359
43	1918
43	2726
44	3011
44	1560
44	2380
44	1921
44	838
45	218
45	1770
45	3102
46	133
46	2714
46	2459
47	2090
47	2437
47	1320
48	2257
48	586
48	100
49	348
49	1113
49	462
49	3096
50	1985
50	1266
50	88
51	1201
51	298
51	1287
52	2793
53	450
53	329
53	2746
53	501
54	382
54	2572
55	1510
55	1662
55	2890
55	2497
55	1163
56	524
56	2299
56	1369
57	1276
57	428
57	666
57	131
58	1769
58	717
58	2452
59	2281
59	2485
59	372
60	683
60	589
60	1408
60	1090
61	2726
62	1221
62	2681
62	1634
63	1000
63	492
63	1321
63	491
64	1122
64	555
64	1868
65	1615
65	1006
65	1374
65	2510
66	1920
66	412
66	3125
67	1061
67	1904
67	860
68	2078
68	2405
68	379
68	552
69	2277
69	173
69	2290
70	1462
71	144
71	1284
71	545
71	1715
72	1526
72	399
72	2948
72	2045
73	1709
73	1363
73	1754
73	2240
74	1886
75	600
75	2551
75	1026
75	340
76	298
76	3052
76	524
77	913
77	744
77	1656
78	2696
78	919
78	2327
79	2700
79	474
79	100
79	1172
80	304
80	1325
80	1480
80	1622
81	1730
81	406
81	2508
82	1466
82	2781
82	1063
82	2101
83	387
83	2223
84	645
84	1038
84	2051
85	2319
85	3056
85	2084
85	2884
86	1680
86	2338
86	1829
87	1804
87	129
87	709
87	1809
88	1845
88	2020
88	1031
89	633
89	2626
89	1263
90	1290
90	1511
90	2850
91	2209
91	1939
91	2654
91	3037
92	301
92	1580
92	733
93	1899
93	230
93	701
94	1970
94	1811
94	273
95	1280
95	608
95	2767
95	2450
96	2778
96	547
96	2901
97	380
97	586
98	677
98	2881
98	2299
98	1285
99	1489
99	3124
99	1591
99	2220
100	465
100	474
100	534
101	2590
101	793
101	2228
102	1494
103	1307
103	2962
104	141
104	975
104	1314
105	2106
106	1669
106	301
106	2210
107	1589
107	801
107	2396
108	1166
108	1742
108	1442
108	882
109	2432
109	1007
109	1960
110	1514
110	1921
110	838
111	137
111	2736
111	1947
112	1569
112	749
112	1351
113	1063
114	2403
114	2848
114	2075
114	2549
